Name,Quantity,Price_per_unit,Total
hot_Espresso,3,175,525
iced_Espresso,5,250,1250
hot_Doppio,4,325,1300
iced_Doppio,4,400,1600
hot_Macchiato,5,200,1000
iced_Macchiato,6,275,1650
hot_Doppio macchiato,2,350,700
iced_Doppio macchiato,6,425,2550
hot_Cortado,9,350,3150
iced_Cortado,5,425,2125
hot_Cappuccino,11,375,4125
iced_Cappuccino,7,450,3150
hot_Flat white,5,375,1875
iced_Flat white,6,575,3450
hot_Pour over,6,200,1200
iced_Pour over,6,275,1650
hot_Americano,11,350,3850
iced_Americano,5,550,2750
hot_Latte,7,450,3150
iced_Latte,1,525,525
hot_Mocha,6,500,3000
iced_Mocha,5,575,2875
hot_Red Eye,4,375,1500
iced_Red Eye,8,450,3600
hot_Black Eye,8,525,4200
iced_Black Eye,9,600,5400
regular_modification,15,0,0
oat_modification,23,50,1150
almond_modification,13,50,650
soy_modification,11,50,550
vanilla_modification,6,50,300
caramel_modification,12,50,600
hazelnut_modification,10,50,500
chocolate_modification,7,50,350
seasonal_modification,4,50,200
extra_single_modification,10,150,1500
extra_double_modification,12,275,3300
Grand_total,,,71250
