Name,Quantity,Price_per_unit,Total
hot_Espresso,8,175,1400
iced_Espresso,5,250,1250
hot_Doppio,5,325,1625
iced_Doppio,5,400,2000
hot_Macchiato,5,200,1000
iced_Macchiato,9,275,2475
hot_Doppio macchiato,3,350,1050
iced_Doppio macchiato,5,425,2125
hot_Cortado,9,350,3150
iced_Cortado,2,425,850
hot_Cappuccino,6,375,2250
iced_Cappuccino,7,450,3150
hot_Flat white,2,375,750
iced_Flat white,7,575,4025
hot_Pour over,6,200,1200
iced_Pour over,5,275,1375
hot_Americano,7,350,2450
iced_Americano,6,550,3300
hot_Latte,6,450,2700
iced_Latte,6,525,3150
hot_Mocha,9,500,4500
iced_Mocha,4,575,2300
hot_Red Eye,5,375,1875
iced_Red Eye,6,450,2700
hot_Black Eye,6,525,3150
iced_Black Eye,4,600,2400
regular_modification,15,0,0
oat_modification,10,50,500
almond_modification,17,50,850
soy_modification,13,50,650
vanilla_modification,16,50,800
caramel_modification,8,50,400
hazelnut_modification,7,50,350
chocolate_modification,9,50,450
seasonal_modification,9,50,450
extra_single_modification,16,150,2400
extra_double_modification,10,275,2750
Grand_total,,,67800
