Name,Quantity,Price_per_unit,Total
hot_Espresso,5,175,875
iced_Espresso,3,250,750
hot_Doppio,7,325,2275
iced_Doppio,8,400,3200
hot_Macchiato,3,200,600
iced_Macchiato,7,275,1925
hot_Doppio macchiato,2,350,700
iced_Doppio macchiato,2,425,850
hot_Cortado,6,350,2100
iced_Cortado,5,425,2125
hot_Cappuccino,7,375,2625
iced_Cappuccino,7,450,3150
hot_Flat white,7,375,2625
iced_Flat white,3,575,1725
hot_Pour over,8,200,1600
iced_Pour over,5,275,1375
hot_Americano,6,350,2100
iced_Americano,6,550,3300
hot_Latte,7,450,3150
iced_Latte,7,525,3675
hot_Mocha,7,500,3500
iced_Mocha,6,575,3450
hot_Red Eye,4,375,1500
iced_Red Eye,8,450,3600
hot_Black Eye,5,525,2625
iced_Black Eye,8,600,4800
regular_modification,16,0,0
oat_modification,16,50,800
almond_modification,17,50,850
soy_modification,10,50,500
vanilla_modification,4,50,200
caramel_modification,10,50,500
hazelnut_modification,10,50,500
chocolate_modification,9,50,450
seasonal_modification,7,50,350
extra_single_modification,7,150,1050
extra_double_modification,12,275,3300
Grand_total,,,68700
