Name,Quantity,Price_per_unit,Total
hot_Espresso,9,175,1575
iced_Espresso,9,250,2250
hot_Doppio,6,325,1950
iced_Doppio,4,400,1600
hot_Macchiato,10,200,2000
iced_Macchiato,5,275,1375
hot_Doppio macchiato,10,350,3500
iced_Doppio macchiato,6,425,2550
hot_Cortado,4,350,1400
iced_Cortado,7,425,2975
hot_Cappuccino,7,375,2625
iced_Cappuccino,7,450,3150
hot_Flat white,3,375,1125
iced_Flat white,5,575,2875
hot_Pour over,8,200,1600
iced_Pour over,4,275,1100
hot_Americano,2,350,700
iced_Americano,3,550,1650
hot_Latte,5,450,2250
iced_Latte,5,525,2625
hot_Mocha,5,500,2500
iced_Mocha,8,575,4600
hot_Red Eye,7,375,2625
iced_Red Eye,4,450,1800
hot_Black Eye,6,525,3150
iced_Black Eye,7,600,4200
regular_modification,15,0,0
oat_modification,13,50,650
almond_modification,21,50,1050
soy_modification,16,50,800
vanilla_modification,7,50,350
caramel_modification,10,50,500
hazelnut_modification,10,50,500
chocolate_modification,5,50,250
seasonal_modification,7,50,350
extra_single_modification,11,150,1650
extra_double_modification,9,275,2475
Grand_total,,,68325
